2023-05-27 19:51:23.534659-0500 ObjectDetection-CoreML[8584:2498111] Metal API Validation Enabled
2023-05-27 19:51:40.564460-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.564 PM
2023-05-27 19:51:40.695811-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.695 PM
2023-05-27 19:51:40.731227-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.731 PM
2023-05-27 19:51:40.774062-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.774 PM
2023-05-27 19:51:40.776750-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.776 PM
2023-05-27 19:51:40.796608-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.796 PM
2023-05-27 19:51:40.799976-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.800 PM
2023-05-27 19:51:40.802832-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.803 PM
2023-05-27 19:51:40.804485-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.804 PM
2023-05-27 19:51:40.806441-0500 ObjectDetection-CoreML[8584:2498111] Yawn at 2023-05-27_7:51:40.806 PM
